material_id,formula,ordering,band_gap,density,nsites,formation_energy_per_atom,total_magnetization,magnetization_per_fu,n_elements,spacegroup,crystal_system
mp-2226142,Ba2Mg(TiS3)2,NM,0.19920000000000002,3.61553264989128,11,-1.6892901996969671,9e-07,9e-07,4,P3m1,Trigonal
mp-571341,InHg6As4Cl7,NM,1.4202,6.436632293467907,72,-0.7358644289814831,0.0,0.0,4,Pa-3,Cubic
mp-21267,Yb2InPd2,NM,0.0,10.709802275419312,10,-0.9664665829999991,0.0,0.0,3,P4/mbm,Tetragonal
mp-16958,LaNi5P3,NM,0.0,7.254208073153086,18,-0.810871030992064,3.8900000000000004e-05,1.9450000000000002e-05,3,Cmcm,Orthorhombic
mp-30011,SbKrF7,NM,2.4093,3.876689598943621,36,-1.8751560907407399,0.0,0.0,3,P2_1/c,Monoclinic
mp-2716030,Na3La2Hf2P5SO24,NM,4.6960999999999995,3.606375994124189,111,-3.067541149950961,0.0,0.0,6,P1,Triclinic
mp-1233212,Ca(SiO2)6,NM,2.6361,2.506905638072419,19,-3.039874924210527,0.0,0.0,3,P1,Triclinic
mp-615173,CuBi(WO4)2,NM,1.2243,7.550601702463331,12,-1.8554361816666671,0.00018429999999900002,0.00018429999999900002,4,P-1,Triclinic
mp-37263,Ca(NdTe2)2,NM,1.2735,6.344535467033101,14,-1.755312290357145,0.0013892,0.0006946,3,I-42d,Tetragonal
mp-2712879,Na7NbSi6(SnO8)3,NM,2.7720000000000002,3.584394560707847,123,-2.699693900113541,0.0,0.0,5,P1,Triclinic
mp-1220063,Pr7In6Ni5Ge3,NM,0.0,7.592943128070122,21,-0.579480739365078,0.1375784,0.1375784,4,P-6,Hexagonal
mp-753351,Ba2CaI6,NM,2.967,4.727786460298317,18,-1.908628135,0.0022641,0.0011320500000000001,3,C2/c,Monoclinic
mp-1224076,In2AgS3Cl,NM,1.087999999999999,4.618462104718493,14,-0.8779580432142841,0.0005028,0.0002514,4,R-3m,Trigonal
mp-1018796,Mg2Si,NM,0.0,2.2602467395617483,6,0.051431958333332,0.010491,0.0052455,2,P6_3/mmc,Hexagonal
mp-1212249,Hf3AgHg3F20,NM,0.760899999999999,6.215004719678908,54,-3.043328345709878,0.0153583,0.00767915,4,P6_3/m,Hexagonal
mp-16747,LuAgPb,NM,0.0,11.53305777833289,9,-0.295174541666665,1e-06,3.333333333333333e-07,3,P-62m,Hexagonal
mp-2713967,Na6Mg4SiS5O24,NM,3.6976999999999993,2.61496947137489,120,-2.394277695561064,0.0,0.0,5,P1,Triclinic
mp-760419,Li2BiF5,NM,4.0596,4.237674222252087,8,-2.846042060416668,1.8e-05,1.8e-05,3,I4/m,Tetragonal
mp-1233483,MgGa4P6(HO3)6,NM,3.8771999999999993,2.875738663457295,35,-2.034260000010204,0.0710799,0.0710799,5,Pm,Monoclinic
mp-753801,Cs2Sr2O3,NM,2.394599999999999,4.471665701297922,14,-2.196080097758621,0.0004837,0.00024185,3,P2_1/c,Monoclinic
mp-1217894,TaRe,NM,0.0,18.769645971686916,2,-0.24994253991665902,2e-07,2e-07,2,Cmmm,Orthorhombic
mp-10392,Sr3CdPtO6,NM,2.0334,6.820408600687142,22,-2.338376244999998,0.0008279,0.00041395,4,R-3c,Trigonal
mp-1219959,PrCuSi,NM,0.0,6.203531987685368,3,-0.550313457222222,0.071349299999999,0.071349299999999,3,P-6m2,Hexagonal
